Year,Population
1988,122613000
1989,123116000
1990,123527000
1991,123921000
1992,124229000
1993,123536000
1994,124961000
1995,125439000
1996,125757000
1996,125098000
1997,126057000
1998,126400000
1999,126631000
2000,126843000
2001,127149000
2002,127445000
2003,127180000
2004,127761000
2005,127773000
2006,127854000
2007,128001000
2008,128063000
2009,128047000
2010,128070000
2011,127629000
2012,127445000
2013,127276000
2014,127141000
2015,126994511
2016,126785797
2017,126529100
