time,male,female
1988,60460567,62152433
1989,60690305,62425695
1990,60880390,62656610
1991,61053609,62867391
1992,61190318,63038682
1993,61326344,63209656
1994,61518591,63442409
1995,61733877,63705123
1996,61867063,63889964
1996,63889964,63889964
1997,61988550,64068450
1998,62129262,64270738
1999,62214263,64416737
2000,62290265,64552735
2001,62413110,64735890
2002,62531609,64913391
2003,62639302,65078698
2004,62634487,65126513
2005,62614707,65158293
2006,62628868,65225132
2007,62675761,65325239
2008,62682056,65380944
2009,62652070,65394930
2010,62643603,65426397
2011,62510713,65322287
2012,62396406,65232594
2013,62296406,65151607
2014,62197978,65078022
2015,62118491,65022509
2016,62032385,64962126
2017,61773806,64870705
